time	V(n002)
3.624763280293538e-02	-9.246165e+00
3.635365958864967e-02	-9.191906e+00
3.645968637436395e-02	-9.130003e+00
3.656571316007824e-02	-9.060456e+00
3.667173994579252e-02	-8.983265e+00
3.677776673150680e-02	-8.898430e+00
3.688379351722108e-02	-8.805951e+00
3.695633816007823e-02	-8.736290e+00
3.702888280293536e-02	-8.660045e+00
3.710142744579251e-02	-8.577218e+00
3.717397208864965e-02	-8.487808e+00
3.724651673150679e-02	-8.391815e+00
3.731906137436393e-02	-8.289239e+00
3.739160601722107e-02	-8.180080e+00
3.750879351722107e-02	-7.984301e+00
3.758691851722107e-02	-7.841016e+00
3.766504351722107e-02	-7.687060e+00
3.774316851722107e-02	-7.522191e+00
3.778223101722106e-02	-7.435639e+00
3.782129351722106e-02	-7.346340e+00
3.786035601722106e-02	-7.254329e+00
3.789941851722106e-02	-7.159625e+00
3.793848101722106e-02	-7.062285e+00
3.797754351722106e-02	-6.962352e+00
3.801660601722106e-02	-6.859904e+00
3.805566851722106e-02	-6.755000e+00
3.809473101722106e-02	-6.647737e+00
3.813379351722106e-02	-6.538185e+00
3.817285601722106e-02	-6.426452e+00
3.821191851722106e-02	-6.312616e+00
3.825098101722105e-02	-6.196789e+00
3.829004351722105e-02	-6.079051e+00
3.832910601722105e-02	-5.959515e+00
3.836816851722105e-02	-5.838256e+00
3.840723101722105e-02	-5.715383e+00
3.844629351722105e-02	-5.590965e+00
3.848535601722105e-02	-5.465106e+00
3.852441851722105e-02	-5.337866e+00
3.856348101722105e-02	-5.209341e+00
3.860254351722105e-02	-5.079583e+00
3.864160601722105e-02	-4.948678e+00
3.868066851722105e-02	-4.816672e+00
3.871973101722104e-02	-4.683642e+00
3.875879351722104e-02	-4.549626e+00
3.879785601722104e-02	-4.414695e+00
3.883691851722104e-02	-4.278879e+00
3.887598101722104e-02	-4.142243e+00
3.891504351722104e-02	-4.004812e+00
3.895410601722104e-02	-3.866646e+00
3.899316851722104e-02	-3.727764e+00
3.903223101722104e-02	-3.588223e+00
3.907129351722104e-02	-3.448038e+00
3.911035601722104e-02	-3.307261e+00
3.914941851722104e-02	-3.165907e+00
3.918848101722103e-02	-3.024023e+00
3.922754351722103e-02	-2.881622e+00
3.926660601722103e-02	-2.738749e+00
3.930566851722103e-02	-2.595416e+00
3.934473101722103e-02	-2.451666e+00
3.938379351722103e-02	-2.307508e+00
3.942285601722103e-02	-2.162986e+00
3.946191851722103e-02	-2.018107e+00
3.950098101722103e-02	-1.872915e+00
3.957910601722103e-02	-1.581650e+00
3.965723101722102e-02	-1.289385e+00
3.973535601722102e-02	-9.963074e-01
3.977441851722102e-02	-8.495181e-01
3.981348101722102e-02	-7.026047e-01
3.985254351722102e-02	-5.555721e-01
3.989160601722102e-02	-4.084615e-01
3.993066851722102e-02	-2.612778e-01
3.996973101722102e-02	-1.140658e-01
4.000000000000000e-02	-1.816267e-04
